LOCATION_ZIPCODE_x,Households,Median_income,White_Resident_Percentage
1003,16,0,100
1063,0,0,0
1066,10,0,100
1086,0,0,0
1199,0,0,0
1937,0,0,0
2047,62,0,100
2203,0,0,0
2357,0,0,0
2366,0,0,0
2457,0,0,0
2584,11,0,100
2637,22,0,100
2643,18,0,100
2651,15,0,100
2672,38,0,100
2468,1849,203009,86
2493,3768,201200,84.6
1467,109,184107,100
2481,4740,177083,88.5
2030,1909,176250,89
1776,6011,169505,91
1741,1724,157500,89.9
1772,3166,155952,85.6
1770,1441,155564,94.4
1740,1622,144461,92.8
1773,2003,143897,82.4
2056,3185,143682,97.2
2052,4106,143641,92.7
1890,7564,141829,87.8
1778,5207,141083,88.9
2482,3854,139811,85.8
2492,6978,138734,92.1
2421,6634,138202,77.6
2420,4960,137109,78.7
2459,6512,135685,78.4
1451,1706,135357,90.6
1718,144,135179,79.2
1742,6778,132736,94
2641,125,132697,100
2465,4263,131853,83
1775,2460,131500,93.4
2461,2678,131125,77
2090,5400,128813,94.4
1748,5219,128267,92.2
1921,2671,127813,98.6
2067,6281,126773,79.8
1810,12079,125321,83.4
1886,7738,125143,84.2
2647,57,124659,100
1985,1502,122969,96.1
2071,339,121635,84.1
1983,2175,121157,95.1
2332,5305,120253,98.4
1720,8301,119342,79.5
1745,130,117955,84.6
2025,2900,117679,100
1984,1363,116875,99
1450,4014,116686,94
1827,1140,116125,96.2
2110,1276,115208,81.1
1541,1234,114688,96.5
1730,5012,114676,86
2210,1075,113622,93.6
2467,6677,113146,80.2
2186,8995,113087,77.7
1864,5424,112419,91.5
2494,3558,112115,84
1756,2045,112104,95.3
1922,945,111806,98.1
1590,3081,111788,98.3
1460,3346,111652,92.7
1568,2634,110781,93.1
2061,3541,110671,97.5
2199,853,110284,88.2
2053,4530,109841,95
1940,4684,109099,95
1982,2838,108558,92.4
1746,5028,108350,93.5
1532,5156,107111,89.3
2763,590,107083,96.4
2356,4116,106989,90.7
1833,2970,106898,97.3
1106,5850,106296,92.4
2478,9276,106172,83.9
1949,2643,105646,91.8
2466,2973,105106,80.1
1867,9032,104472,92.2
2109,2067,104393,86.7
2066,6595,104275,95.4
2142,1433,104014,52.2
1719,2101,103996,80.3
2460,3806,103800,86.1
2669,93,103693,89.2
1824,9854,103411,88.9
2043,8375,103350,96.5
1721,6560,102721,86.9
1612,1523,102614,89.8
1505,1611,102422,93.8
2038,10992,101980,92.6
1342,533,101863,89.3
1519,2463,101205,93.8
1945,8127,100709,97.1
1581,7085,100552,76.3
1845,10609,100544,88.1
1887,7585,100536,93.3
1747,2240,99886,94.1
2093,3904,99302,97.8
2108,2212,99187,90.3
1760,13958,99172,87.8
1520,5149,98979,95.5
2339,4718,98750,95.7
1862,3501,98305,91.4
2476,7091,97647,87.2
1545,12934,97617,80.4
1434,144,97222,88.2
2054,2961,96773,94.7
1907,5541,96510,95.7
2445,8641,95895,78.2
1474,713,95587,96.2
1803,9423,95465,80.9
2035,6403,94538,93
1522,1140,94531,97
2367,987,94505,99.6
1566,2516,93776,96.9
2341,3438,93771,93.4
2116,11023,93605,72.9
1879,4114,93108,93
2048,8223,93082,90.4
1834,2406,92898,96.3
2770,1783,92656,92.7
2644,1281,92054,94.9
2458,4879,91672,80.6
1821,11209,91605,90.7
1037,262,91471,100
1507,4617,91287,97.4
1543,2843,91033,96.7
1951,1732,90969,98.8
2021,8873,90878,83.3
1264,65,90625,100
2081,6977,90470,94.4
1564,2800,90455,97.2
2556,1361,90399,97.9
2359,6248,89954,95.7
1523,2266,89808,95.5
2474,11635,89466,87.7
1944,2108,89313,98
1929,1401,89185,97.6
1876,10878,88794,93.6
2050,9625,88750,96.6
1503,1052,88681,96.1
2715,1067,88631,100
2333,4860,88534,96.3
1701,12342,88498,86
2324,7772,88481,93.3
1529,1056,88281,96.5
2561,205,88242,100
1569,4837,88125,98.1
2717,1546,87880,97
2702,1547,87740,98.4
2184,13226,87500,85.9
2464,1238,87428,81.1
2019,6162,87417,94.8
2129,8392,87387,78.9
2668,1162,87303,98.8
1473,2836,87273,98
1095,5410,86908,95.3
2554,3888,86766,84.9
2375,3492,86695,87.6
2114,6907,86601,77.4
2472,14465,86522,83.7
2176,11304,86409,90.4
2364,4625,86339,96.9
2132,11157,86233,82.8
2718,2288,86023,92.5
1969,2203,85994,98.7
1880,9798,85694,94.1
2769,3967,85691,97.9
1430,2235,85662,98.6
2026,9710,85558,85.9
2779,2140,84423,95.8
1516,3124,84390,96.8
1028,6033,84173,95.8
1431,1073,83917,97.4
1254,456,83750,98.5
2564,79,83583,100
2462,658,83500,87.7
1452,1558,83438,97.8
1950,7395,83149,94.8
1534,2075,82950,93.2
2347,3745,82418,97.2
1010,1504,82365,97.9
2563,3876,82238,97.7
1093,130,82222,97.7
1077,3593,81967,97
2537,2398,81892,95.8
1343,38,81667,100
2379,2315,81573,90.4
2032,1558,81513,89.7
2351,6032,81500,95.4
2790,6175,81334,98.5
2760,9712,81259,93.5
1904,6640,81258,81.1
2451,7307,81182,75
1531,376,81136,98.9
2576,1832,81120,86.1
2764,1357,81067,97.6
1469,2575,81024,97
2766,6290,80806,96.8
1068,640,80577,99.4
1860,2516,80508,98.7
2557,1824,80225,91.6
2767,4811,80019,88.4
2062,11623,79963,86.4
1033,2389,79647,96.7
1036,1873,79639,98.5
2144,10735,79435,84.6
2446,13419,79289,75.9
1341,660,79286,98.5
1754,4257,79252,91.3
1731,499,79063,75.6
1801,15176,79034,85.3
2322,1636,78750,80
2138,13791,78534,75.2
2762,3391,78516,96.3
1266,682,78333,95.2
1560,1648,78250,76.5
2739,2289,78216,96.6
2130,15596,78204,65
1054,786,78125,95.9
1222,367,78080,97.3
2155,22127,77945,82
1938,5679,77901,98.2
1463,4203,77767,96.8
2190,6637,77471,92
1034,781,77448,97.4
2045,4766,77440,96.4
2777,6042,77434,98.5
1330,671,77411,98.2
1923,10330,77404,94.7
1542,685,76979,98.5
2360,21833,76925,95.1
1826,10957,76879,90.9
2738,1872,76607,93.8
2382,5399,76494,97.1
1913,6812,76463,96
1237,944,76346,99.7
2180,9032,76218,92.3
1906,10345,76141,93
1952,3297,75995,97
1354,562,75776,98
2346,8347,75727,94.9
2140,8453,75658,62.3
2726,5890,75657,96.5
