Old_Hood,LOCATION_ZIPCODE,Clean Neighborhoods
Allston,2134,Allston
Back Bay,2116,Back Bay
Beacon Hill,2108,Beacon Hill / West End
Brighton,2135,Brighton
Charlestown,2129,Charlestown
Dorchester,2122,Dorchester
Downtown / Financial District,2109,Downtown / Financial District / North End
East Boston,2128,East Boston
Fenway / Kenmore / Audubon Circle / Longwood,2115,Fenway / Kenmore
Hyde Park,2136,Hyde Park
Jamaica Plain,2130,Jamaica Plain
Greater Mattapan,2126,Mattapan
Mission Hill,2120,Mission Hill
Roslindale,2131,Roslindale
Roxbury,2119,Roxbury
South Boston / South Boston Waterfront,2127,South Boston
South End,2118,South End
West Roxbury,2132,West Roxbury
